round trainmean trainstdev testmean teststdev
1 0.19870550161812306 0.004622283772519641 0.2014285714285715 0.022542476911513558
2 0.19870550161812306 0.004622283772519641 0.2014285714285715 0.022542476911513558
3 0.16893203883495145 0.01972783256197822 0.15428571428571447 0.017842851423995405
4 0.16569579288025893 0.009578413324885921 0.16285714285714303 0.02231499907401901
5 0.14854368932038842 0.014360328629342254 0.14428571428571446 0.028175832747594293
6 0.14757281553398072 0.0065047738648031745 0.1457142857142859 0.02373321103690877
7 0.13883495145631064 0.008370561266263798 0.1299999999999999 0.027441961017569346
8 0.14174757281553396 0.011003236245954692 0.1357142857142858 0.024948927423675677
9 0.1313915857605179 0.01203953089821247 0.127142857142857 0.014914723584157928
10 0.13398058252427192 0.011596422567746881 0.1328571428571429 0.023947220877486023
11 0.12653721682847896 0.010777233530968766 0.1299999999999999 0.011866605518454388
12 0.13106796116504849 0.01405067530491418 0.13142857142857167 0.017842851423995425
13 0.12394822006472506 0.00938511326860842 0.13142857142857134 0.010690449676496985
14 0.12491909385113276 0.013121770182985947 0.11714285714285688 0.013997084244475313
15 0.11715210355987049 0.008898205232923966 0.12857142857142845 0.016903085094570336
16 0.12071197411003232 0.010835384493710819 0.12571428571428545 0.012453996981544766
17 0.11359223300970867 0.00931791588924789 0.12571428571428567 0.012453996981544766
18 0.11229773462783166 0.008320362545101913 0.11857142857142833 0.009147320339189774
19 0.10938511326860856 0.008032151227178538 0.13142857142857145 0.013997084244475301
20 0.11326860841423936 0.008562301977555309 0.12285714285714255 0.006998542122237628
21 0.10970873786407775 0.007582766675637536 0.12571428571428578 0.015386185163241459
22 0.11003236245954695 0.009153485840602542 0.127142857142857 0.016225452416572212
23 0.10582524271844673 0.007386868744668822 0.12714285714285722 0.021618208500602233
24 0.10744336569579294 0.007900683246429585 0.1171428571428571 0.024578072191550355
25 0.10323624595469238 0.006216625473235783 0.12571428571428578 0.021946130708196024
26 0.10582524271844673 0.008064683362056367 0.12142857142857155 0.019430672155336344
27 0.10323624595469238 0.007986383611167033 0.13142857142857145 0.017842851423995446
28 0.10420711974110031 0.007900683246429582 0.12714285714285722 0.02254247691151356
29 0.10323624595469238 0.007986383611167014 0.12714285714285722 0.014914723584157928
30 0.10129449838187699 0.007097641488498809 0.1328571428571429 0.02217739242322859
31 0.10097087378640768 0.009015138043484857 0.12571428571428578 0.01538618516324144
32 0.10097087378640768 0.007630955419127239 0.122857142857143 0.017142857142857147
33 0.09967637540453056 0.00853780320923813 0.12285714285714278 0.013093073414159526
34 0.09999999999999998 0.00964922428212012 0.12428571428571433 0.015714285714285712
35 0.09805825242718458 0.00938511326860841 0.12142857142857133 0.014638501094227988
36 0.09935275080906147 0.008320362545101889 0.12142857142857133 0.013170777796132703
37 0.09644012944983815 0.006440048136612432 0.1200000000000001 0.018294640678379576
38 0.09579288025889954 0.009512581525371568 0.12142857142857133 0.00958314847499909
39 0.09482200647249184 0.005976111751656755 0.1200000000000001 0.018294640678379576
40 0.09676375404530746 0.007156422131875729 0.12142857142857133 0.011517511068997928
41 0.09482200647249184 0.00631690009577447 0.12142857142857155 0.018350332255235906
42 0.09417475728155333 0.0074433656957928656 0.11999999999999988 0.01142857142857143
43 0.09255663430420691 0.006819193367542217 0.12142857142857155 0.015971914124998515
44 0.09352750809061483 0.007443365695792864 0.12142857142857133 0.011517511068997927
45 0.089967637540453 0.006757479941042413 0.11714285714285688 0.01069044967649697
46 0.09223300970873782 0.006671691950837632 0.11999999999999988 0.015907898179514345
47 0.08834951456310658 0.005798211283873437 0.11857142857142855 0.011157499537009511
48 0.0919093851132684 0.005453818623415122 0.1171428571428571 0.01665986255670086
49 0.08770226537216819 0.0065449024000507105 0.12428571428571422 0.012857142857142864
50 0.0919093851132684 0.005642587629178871 0.11857142857142855 0.014356965173029838
