round trainmean trainstdev testmean teststdev
1 0.17762711864406788 0.005073433744778211 0.19000000000000006 0.012857142857142845
2 0.17762711864406788 0.005073433744778211 0.19000000000000006 0.012857142857142845
3 0.1406779661016948 0.016830090287873103 0.16571428571428581 0.023211538298959864
4 0.14610169491525427 0.009521743664534331 0.17571428571428582 0.02123724106759786
5 0.11999999999999988 0.013576260606441203 0.15142857142857147 0.023211538298959864
6 0.12677966101694904 0.014791474053743339 0.15999999999999992 0.02982944716831585
7 0.11322033898305084 0.013058549345259811 0.14857142857142858 0.030101867865293515
8 0.10881355932203385 0.01593220338983051 0.15857142857142859 0.030270885857738683
9 0.09661016949152523 0.007767077449077684 0.14 0.033685217493004536
10 0.09728813559322025 0.01295695922279076 0.14714285714285713 0.03197575612228482
11 0.09491525423728808 0.011445385095684124 0.13714285714285723 0.02725540575476986
12 0.09355932203389838 0.013491355079411772 0.13428571428571434 0.025714285714285686
13 0.0898305084745763 0.011767155903532053 0.1328571428571429 0.02999999999999999
14 0.08847457627118638 0.014257451420212244 0.14 0.028428212488760558
15 0.08508474576271186 0.014013577361758888 0.14285714285714302 0.02390457218668787
16 0.08203389830508478 0.013198591412835114 0.14 0.03245090483314441
17 0.0800000000000003 0.011465447135788318 0.13571428571428557 0.031461022207921775
18 0.07898305084745783 0.015087602091029073 0.13142857142857145 0.02618614682831908
19 0.07627118644067798 0.010530321740345124 0.12714285714285722 0.025911938781738655
20 0.07491525423728818 0.014417742588567262 0.1357142857142858 0.022360679774997883
21 0.06983050847457617 0.011057292495118708 0.13142857142857145 0.021946130708196024
22 0.07118644067796609 0.01597182235849458 0.1357142857142859 0.019430672155336344
23 0.06915254237288126 0.01095287757383289 0.12857142857142845 0.019166296949998194
24 0.06779661016949157 0.012683584361945565 0.1299999999999999 0.028891069165938112
25 0.06677966101694932 0.011247905100364107 0.12285714285714278 0.027255405754769882
26 0.06271186440677956 0.010420627897586037 0.127142857142857 0.020652617564001354
27 0.06271186440677956 0.007465327303574664 0.12714285714285722 0.023430313524081026
28 0.06406779661016948 0.011288695461252008 0.12285714285714278 0.020404081224408146
29 0.06271186440677956 0.009497576763472487 0.12428571428571433 0.02025349554108261
30 0.060338983050847395 0.00770021470616987 0.1171428571428571 0.017842851423995432
31 0.060338983050847395 0.009801242233763371 0.1142857142857141 0.014285714285714278
32 0.058983050847457585 0.010524864200854259 0.11714285714285688 0.019999999999999997
33 0.060338983050847395 0.009196379638135984 0.11999999999999977 0.024074713637646728
34 0.05796610169491534 0.010220212496055148 0.1171428571428571 0.026186146828319087
35 0.05694915254237287 0.00894298709035451 0.11999999999999977 0.018294640678379576
36 0.05694915254237287 0.008275630925921176 0.1142857142857141 0.014285714285714278
37 0.057288135593220324 0.007647806218765079 0.11999999999999977 0.014568627181693683
38 0.055932203389830404 0.00949757676347248 0.11999999999999977 0.014568627181693682
39 0.05559322033898295 0.007610150617167337 0.12285714285714255 0.015907898179514365
40 0.055932203389830404 0.010309767000505468 0.12142857142857122 0.013170777796132703
41 0.0552542372881355 0.008846093797084672 0.11714285714285688 0.015386185163241453
42 0.05220338983050854 0.008994236719607862 0.11714285714285688 0.013997084244475292
43 0.0525423728813561 0.006821902304236638 0.11857142857142833 0.019219462924391008
44 0.05220338983050854 0.008602425451152204 0.11571428571428544 0.014914723584157921
45 0.05016949152542394 0.007395737026871684 0.1171428571428571 0.01665986255670086
46 0.05050847457627139 0.007796610169491539 0.11857142857142833 0.016963345838625597
47 0.050169491525423715 0.007395737026871664 0.1200000000000001 0.019378085666072208
48 0.04983050847457626 0.006440677966101694 0.11857142857142833 0.015714285714285712
49 0.04949152542372892 0.006101694915254254 0.12428571428571422 0.018126539343499323
50 0.04915254237288147 0.006651327752660551 0.11714285714285688 0.01665986255670086
