round	train	test
0	0.16014234875444844	0.18571428571428572
1	0.16014234875444844	0.18571428571428572
2	0.09964412811387902	0.1428571428571429
3	0.12099644128113884	0.18571428571428572
4	0.09608540925266906	0.15714285714285714
5	0.10320284697508897	0.18571428571428572
6	0.08896797153024916	0.11428571428571432
7	0.09252669039145911	0.18571428571428572
8	0.08540925266903909	0.12857142857142856
9	0.07473309608540923	0.11428571428571432
10	0.07829181494661919	0.11428571428571432
11	0.07117437722419928	0.11428571428571432
12	0.07117437722419928	0.11428571428571432
13	0.053380782918149516	0.12857142857142856
14	0.06405693950177938	0.11428571428571432
15	0.0462633451957295	0.12857142857142856
16	0.053380782918149516	0.11428571428571432
17	0.0462633451957295	0.12857142857142856
18	0.039145907473309594	0.1428571428571429
19	0.03558718861209964	0.1428571428571429
20	0.02491103202846978	0.1428571428571429
21	0.02491103202846978	0.15714285714285714
22	0.03202846975088969	0.1428571428571429
23	0.017793594306049876	0.12857142857142856
24	0.03202846975088969	0.09999999999999998
25	0.02491103202846978	0.09999999999999998
26	0.014234875444839812	0.09999999999999998
27	0.010676156583629859	0.09999999999999998
28	0.014234875444839812	0.09999999999999998
29	0.003558718861209953	0.09999999999999998
30	0.014234875444839812	0.09999999999999998
31	0.003558718861209953	0.09999999999999998
32	0.010676156583629859	0.09999999999999998
33	0.003558718861209953	0.0714285714285714
34	0.007117437722419906	0.09999999999999998
35	0.003558718861209953	0.09999999999999998
36	0.007117437722419906	0.09999999999999998
37	0.003558718861209953	0.08571428571428574
38	0.007117437722419906	0.09999999999999998
39	0.007117437722419906	0.08571428571428574
40	0.007117437722419906	0.08571428571428574
41	0.003558718861209953	0.08571428571428574
42	0.003558718861209953	0.08571428571428574
43	0.0	0.08571428571428574
44	0.0	0.09999999999999998
45	0.003558718861209953	0.09999999999999998
46	0.0	0.11428571428571432
47	0.0	0.08571428571428574
48	0.0	0.08571428571428574
49	0.003558718861209953	0.08571428571428574
