round	train	test
1	0.176271186	0.185714286
2	0.176271186	0.185714286
3	0.13220339	0.214285714
4	0.145762712	0.185714286
5	0.128813559	0.228571429
6	0.13559322	0.171428571
7	0.118644068	0.142857143
8	0.118644068	0.142857143
9	0.111864407	0.142857143
10	0.105084746	0.171428571
11	0.101694915	0.157142857
12	0.098305085	0.171428571
13	0.088135593	0.171428571
14	0.094915254	0.171428571
15	0.081355932	0.157142857
16	0.091525424	0.171428571
17	0.088135593	0.157142857
18	0.101694915	0.171428571
19	0.077966102	0.157142857
20	0.077966102	0.157142857
21	0.077966102	0.142857143
22	0.084745763	0.157142857
23	0.071186441	0.142857143
24	0.074576271	0.157142857
25	0.077966102	0.157142857
26	0.061016949	0.128571429
27	0.06779661	0.142857143
28	0.061016949	0.114285714
29	0.057627119	0.128571429
30	0.071186441	0.142857143
31	0.057627119	0.128571429
32	0.057627119	0.128571429
33	0.050847458	0.085714286
34	0.06440678	0.085714286
35	0.050847458	0.085714286
36	0.061016949	0.085714286
37	0.054237288	0.1
38	0.061016949	0.085714286
39	0.050847458	0.114285714
40	0.054237288	0.085714286
41	0.050847458	0.128571429
42	0.054237288	0.128571429
43	0.054237288	0.114285714
44	0.050847458	0.085714286
45	0.050847458	0.085714286
46	0.054237288	0.1
47	0.050847458	0.1
48	0.050847458	0.085714286
49	0.047457627	0.085714286
