round	train	test
1	0.20064724919093846	0.18571428571428572
2	0.20064724919093846	0.18571428571428572
3	0.18122977346278313	0.17142857142857137
4	0.1747572815533981	0.18571428571428572
5	0.1488673139158576	0.17142857142857137
6	0.12944983818770228	0.11428571428571432
7	0.12621359223300976	0.09999999999999998
8	0.14239482200647247	0.12857142857142856
9	0.13915857605177995	0.12857142857142856
10	0.13592233009708743	0.15714285714285714
11	0.11974110032362462	0.1428571428571429
12	0.14239482200647247	0.12857142857142856
13	0.12297734627831713	0.11428571428571432
14	0.12297734627831713	0.1428571428571429
15	0.11003236245954695	0.12857142857142856
16	0.11003236245954695	0.1428571428571429
17	0.11003236245954695	0.12857142857142856
18	0.1035598705501618	0.1428571428571429
19	0.10679611650485432	0.1428571428571429
20	0.10679611650485432	0.12857142857142856
21	0.10679611650485432	0.11428571428571432
22	0.09708737864077666	0.12857142857142856
23	0.09708737864077666	0.11428571428571432
24	0.10679611650485432	0.11428571428571432
25	0.10032362459546929	0.12857142857142856
26	0.10679611650485432	0.1428571428571429
27	0.10032362459546929	0.11428571428571432
28	0.1035598705501618	0.1428571428571429
29	0.09708737864077666	0.11428571428571432
30	0.09708737864077666	0.15714285714285714
31	0.10032362459546929	0.12857142857142856
32	0.09708737864077666	0.12857142857142856
33	0.10032362459546929	0.12857142857142856
34	0.09708737864077666	0.1428571428571429
35	0.10032362459546929	0.12857142857142856
36	0.09385113268608414	0.1428571428571429
37	0.09385113268608414	0.11428571428571432
38	0.08737864077669899	0.1428571428571429
39	0.09061488673139162	0.1428571428571429
40	0.08737864077669899	0.17142857142857137
41	0.09061488673139162	0.1428571428571429
42	0.08737864077669899	0.17142857142857137
43	0.08737864077669899	0.17142857142857137
44	0.08737864077669899	0.17142857142857137
45	0.08737864077669899	0.1428571428571429
46	0.08414239482200647	0.15714285714285714
47	0.08414239482200647	0.15714285714285714
48	0.08414239482200647	0.1428571428571429
49	0.08414239482200647	0.1428571428571429
50	0.08090614886731395	0.1428571428571429
